loss_train	acc_train	loss_val	acc_val
2.056737184524536	0.05714285714285714	2.0407538414001465	0.063
2.016192674636841	0.07142857142857142	2.025712490081787	0.118
2.0091559886932373	0.08571428571428572	2.012054920196533	0.13
1.9927986860275269	0.07857142857142857	1.9999027252197266	0.12
1.9631783962249756	0.10714285714285714	1.9889473915100098	0.118
1.957547664642334	0.1	1.9786080121994019	0.118
1.9342306852340698	0.10714285714285714	1.9689662456512451	0.118
1.9175549745559692	0.12142857142857143	1.959679365158081	0.118
1.899409532546997	0.16428571428571428	1.9509011507034302	0.15
1.8895787000656128	0.17857142857142858	1.9424303770065308	0.365
1.8669209480285645	0.36428571428571427	1.9343454837799072	0.364
1.8640226125717163	0.32857142857142857	1.926689863204956	0.356
1.8434467315673828	0.32142857142857145	1.91926109790802	0.356
1.8199634552001953	0.34285714285714286	1.9121105670928955	0.351
1.810677170753479	0.32857142857142857	1.9054661989212036	0.348
1.8079943656921387	0.29285714285714287	1.8990581035614014	0.341
1.7880374193191528	0.4	1.8928312063217163	0.331
1.7948576211929321	0.32142857142857145	1.8868768215179443	0.325
1.781591773033142	0.32142857142857145	1.880919337272644	0.321
1.7682605981826782	0.34285714285714286	1.875002384185791	0.315
1.7535192966461182	0.35714285714285715	1.8692750930786133	0.312
1.7275142669677734	0.36428571428571427	1.8636149168014526	0.31
1.7281299829483032	0.35	1.857793927192688	0.31
1.7379698753356934	0.32142857142857145	1.8514398336410522	0.309
1.7131478786468506	0.3	1.844749093055725	0.309
1.7055131196975708	0.3142857142857143	1.837641954421997	0.309
1.6782993078231812	0.34285714285714286	1.8300800323486328	0.309
1.6877332925796509	0.30714285714285716	1.8222512006759644	0.309
1.6950056552886963	0.3357142857142857	1.814180850982666	0.309
1.6761757135391235	0.32142857142857145	1.8061429262161255	0.309
1.6449897289276123	0.3357142857142857	1.7980068922042847	0.309
1.649648666381836	0.3142857142857143	1.789825201034546	0.309
1.6704074144363403	0.3	1.781527042388916	0.309
1.644473671913147	0.34285714285714286	1.7731692790985107	0.309
1.6293354034423828	0.3142857142857143	1.764675259590149	0.309
1.5934491157531738	0.3142857142857143	1.7563011646270752	0.309
1.6100038290023804	0.32857142857142857	1.7478265762329102	0.309
1.5871129035949707	0.32857142857142857	1.7393715381622314	0.309
1.5836451053619385	0.35714285714285715	1.7309244871139526	0.31
1.5718554258346558	0.34285714285714286	1.7222777605056763	0.312
1.5585253238677979	0.35714285714285715	1.7134102582931519	0.314
1.5607811212539673	0.35714285714285715	1.7038699388504028	0.316
1.5317497253417969	0.37857142857142856	1.6939212083816528	0.319
1.5542123317718506	0.4	1.6837244033813477	0.323
1.5218539237976074	0.42142857142857143	1.6736540794372559	0.324
1.5079352855682373	0.4142857142857143	1.663583755493164	0.329
1.4922492504119873	0.4357142857142857	1.6531590223312378	0.336
1.4478639364242554	0.44285714285714284	1.6426762342453003	0.343
1.450268268585205	0.4357142857142857	1.632317066192627	0.351
1.4635679721832275	0.4714285714285714	1.6220152378082275	0.367
1.4256725311279297	0.5	1.611533522605896	0.375
1.407665491104126	0.5214285714285715	1.6010823249816895	0.388
1.3722877502441406	0.55	1.5906113386154175	0.395
1.3682376146316528	0.5571428571428572	1.5802384614944458	0.403
